	A	R	N	D	C	Q	E	G	H	I	L	K	M	F	P	S	T	W	Y	V	-	B	J	O	U	X	Z
A	10	4	3	3	6	4	4	6	3	4	4	4	4	3	4	7	6	2	3	6	0	0	0	0	0	0	0
R	4	10	5	3	2	6	5	3	5	2	3	7	4	2	3	4	4	2	3	2	0	0	0	0	0	0	0
N	3	5	10	6	3	5	5	5	6	3	3	5	3	3	3	6	5	2	3	3	0	0	0	0	0	0	0
D	3	3	6	10	3	5	7	4	4	3	2	4	3	3	4	5	4	2	3	3	0	0	0	0	0	0	0
C	4	3	3	3	10	3	2	3	3	4	4	3	4	3	3	4	4	3	3	4	0	0	0	0	0	0	0
Q	4	6	5	5	2	10	7	3	5	2	3	6	5	2	4	5	4	3	4	3	0	0	0	0	0	0	0
E	5	5	5	7	2	7	10	4	5	3	3	6	4	3	5	5	5	3	4	4	0	0	0	0	0	0	0
G	5	3	5	4	3	3	3	10	3	2	2	3	3	3	3	5	3	3	3	3	0	0	0	0	0	0	0
H	2	4	5	3	2	4	4	2	10	2	2	3	2	3	2	3	2	2	5	2	0	0	0	0	0	0	0
I	5	3	3	3	5	3	3	2	3	10	8	3	7	6	3	4	5	3	5	9	0	0	0	0	0	0	0
L	5	4	3	2	5	4	3	2	3	8	10	4	8	6	3	4	5	4	5	7	0	0	0	0	0	0	0
K	4	7	5	4	2	6	6	3	4	2	3	10	4	2	4	5	4	2	3	3	0	0	0	0	0	0	0
M	4	4	3	2	4	5	3	2	3	6	7	4	10	5	3	4	4	4	4	6	0	0	0	0	0	0	0
F	3	3	3	3	3	3	3	3	4	5	5	3	5	10	2	3	3	6	8	4	0	0	0	0	0	0	0
P	4	3	3	4	2	4	4	3	3	2	2	4	3	2	10	4	4	2	2	3	0	0	0	0	0	0	0
S	7	4	7	6	4	6	6	6	4	3	3	6	4	3	4	10	7	2	3	3	0	0	0	0	0	0	0
T	4	3	4	3	3	3	3	2	2	3	3	3	3	2	3	6	10	2	2	4	0	0	0	0	0	0	0
W	2	2	2	2	3	3	2	3	3	2	3	2	3	4	2	2	3	10	5	2	0	0	0	0	0	0	0
Y	3	3	3	2	3	3	3	2	6	3	3	3	3	7	2	3	3	6	10	3	0	0	0	0	0	0	0
V	6	2	2	2	4	3	3	2	2	9	7	3	7	4	3	3	6	2	4	10	0	0	0	0	0	0	0
-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
J	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
U	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Z	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
